source,target,interaction,directed,symbol,value
M_icit_c,R_ICDHyr,PP,TRUE,abc,1.234
M_nadp_c,R_ICDHyr,PP,TRUE,abc,1.234
R_ICDHyr,M_akg_c,PP,TRUE,abc,1.234
R_ICDHyr,M_co2_c,PP,TRUE,abc,1.234
R_ICDHyr,M_nadph_c,PP,TRUE,abc,1.234
M_icit_c,R_ICL,PP,TRUE,abc,1.234
R_ICL,M_glx_c,PP,TRUE,abc,1.234
R_ICL,M_succ_c,PP,TRUE,abc,1.234
M_lac__D_c,R_LDH_D,PP,TRUE,abc,1.234
M_nad_c,R_LDH_D,PP,TRUE,abc,1.234
R_LDH_D,M_h_c,PP,TRUE,abc,1.234
R_LDH_D,M_nadh_c,PP,TRUE,abc,1.234
R_LDH_D,M_pyr_c,PP,TRUE,abc,1.234
M_accoa_c,R_MALS,PP,TRUE,abc,1.234
M_glx_c,R_MALS,PP,TRUE,abc,1.234
M_h2o_c,R_MALS,PP,TRUE,abc,1.234
R_MALS,M_coa_c,PP,TRUE,abc,1.234
R_MALS,M_h_c,PP,TRUE,abc,1.234
R_MALS,M_mal__L_c,PP,TRUE,abc,1.234
M_h_e,R_MALt2_2,PP,TRUE,abc,1.234
M_mal__L_e,R_MALt2_2,PP,TRUE,abc,1.234
R_MALt2_2,M_h_c,PP,TRUE,abc,1.234
R_MALt2_2,M_mal__L_c,PP,TRUE,abc,1.234
M_mal__L_c,R_MDH,PP,TRUE,abc,1.234
M_nad_c,R_MDH,PP,TRUE,abc,1.234
R_MDH,M_h_c,PP,TRUE,abc,1.234
R_MDH,M_nadh_c,PP,TRUE,abc,1.234
R_MDH,M_oaa_c,PP,TRUE,abc,1.234
M_mal__L_c,R_ME1,PP,TRUE,abc,1.234
M_nad_c,R_ME1,PP,TRUE,abc,1.234
R_ME1,M_co2_c,PP,TRUE,abc,1.234
R_ME1,M_nadh_c,PP,TRUE,abc,1.234
R_ME1,M_pyr_c,PP,TRUE,abc,1.234
M_mal__L_c,R_ME2,PP,TRUE,abc,1.234
M_nadp_c,R_ME2,PP,TRUE,abc,1.234
R_ME2,M_co2_c,PP,TRUE,abc,1.234
R_ME2,M_nadph_c,PP,TRUE,abc,1.234
R_ME2,M_pyr_c,PP,TRUE,abc,1.234
M_h_c,R_NADH16,PP,TRUE,abc,1.234
M_nadh_c,R_NADH16,PP,TRUE,abc,1.234
M_q8_c,R_NADH16,PP,TRUE,abc,1.234
R_NADH16,M_h_e,PP,TRUE,abc,1.234
R_NADH16,M_nad_c,PP,TRUE,abc,1.234
R_NADH16,M_q8h2_c,PP,TRUE,abc,1.234
M_nad_c,R_NADTRHD,PP,TRUE,abc,1.234
M_nadph_c,R_NADTRHD,PP,TRUE,abc,1.234
R_NADTRHD,M_nadh_c,PP,TRUE,abc,1.234
R_NADTRHD,M_nadp_c,PP,TRUE,abc,1.234
M_nh4_e,R_NH4t,PP,TRUE,abc,1.234
R_NH4t,M_nh4_c,PP,TRUE,abc,1.234
M_o2_e,R_O2t,PP,TRUE,abc,1.234
R_O2t,M_o2_c,PP,TRUE,abc,1.234
M_coa_c,R_PDH,PP,TRUE,abc,1.234
M_nad_c,R_PDH,PP,TRUE,abc,1.234
M_pyr_c,R_PDH,PP,TRUE,abc,1.234
R_PDH,M_accoa_c,PP,TRUE,abc,1.234
R_PDH,M_co2_c,PP,TRUE,abc,1.234
R_PDH,M_nadh_c,PP,TRUE,abc,1.234
M_atp_c,R_PFK,PP,TRUE,abc,1.234
M_f6p_c,R_PFK,PP,TRUE,abc,1.234
R_PFK,M_adp_c,PP,TRUE,abc,1.234
R_PFK,M_fdp_c,PP,TRUE,abc,1.234
R_PFK,M_h_c,PP,TRUE,abc,1.234
M_coa_c,R_PFL,PP,TRUE,abc,1.234
M_pyr_c,R_PFL,PP,TRUE,abc,1.234
R_PFL,M_accoa_c,PP,TRUE,abc,1.234
R_PFL,M_for_c,PP,TRUE,abc,1.234
M_g6p_c,R_PGI,PP,TRUE,abc,1.234
R_PGI,M_f6p_c,PP,TRUE,abc,1.234
M_3pg_c,R_PGK,PP,TRUE,abc,1.234
M_atp_c,R_PGK,PP,TRUE,abc,1.234
R_PGK,M_13dpg_c,PP,TRUE,abc,1.234
R_PGK,M_adp_c,PP,TRUE,abc,1.234
M_6pgl_c,R_PGL,PP,TRUE,abc,1.234
M_h2o_c,R_PGL,PP,TRUE,abc,1.234
R_PGL,M_6pgc_c,PP,TRUE,abc,1.234
R_PGL,M_h_c,PP,TRUE,abc,1.234
M_2pg_c,R_PGM,PP,TRUE,abc,1.234
R_PGM,M_3pg_c,PP,TRUE,abc,1.234
M_h_e,R_PIt2r,PP,TRUE,abc,1.234
M_pi_e,R_PIt2r,PP,TRUE,abc,1.234
R_PIt2r,M_h_c,PP,TRUE,abc,1.234
R_PIt2r,M_pi_c,PP,TRUE,abc,1.234
M_co2_c,R_PPC,PP,TRUE,abc,1.234
M_h2o_c,R_PPC,PP,TRUE,abc,1.234
M_pep_c,R_PPC,PP,TRUE,abc,1.234
R_PPC,M_h_c,PP,TRUE,abc,1.234
R_PPC,M_oaa_c,PP,TRUE,abc,1.234
R_PPC,M_pi_c,PP,TRUE,abc,1.234
M_atp_c,R_PPCK,PP,TRUE,abc,1.234
M_oaa_c,R_PPCK,PP,TRUE,abc,1.234
R_PPCK,M_adp_c,PP,TRUE,abc,1.234
R_PPCK,M_co2_c,PP,TRUE,abc,1.234
R_PPCK,M_pep_c,PP,TRUE,abc,1.234
M_atp_c,R_PPS,PP,TRUE,abc,1.234
M_h2o_c,R_PPS,PP,TRUE,abc,1.234
M_pyr_c,R_PPS,PP,TRUE,abc,1.234
R_PPS,M_amp_c,PP,TRUE,abc,1.234
R_PPS,M_h_c,PP,TRUE,abc,1.234
R_PPS,M_pep_c,PP,TRUE,abc,1.234
R_PPS,M_pi_c,PP,TRUE,abc,1.234
M_accoa_c,R_PTAr,PP,TRUE,abc,1.234
M_pi_c,R_PTAr,PP,TRUE,abc,1.234
R_PTAr,M_actp_c,PP,TRUE,abc,1.234
R_PTAr,M_coa_c,PP,TRUE,abc,1.234
M_adp_c,R_PYK,PP,TRUE,abc,1.234
M_h_c,R_PYK,PP,TRUE,abc,1.234
M_pep_c,R_PYK,PP,TRUE,abc,1.234
R_PYK,M_atp_c,PP,TRUE,abc,1.234
R_PYK,M_pyr_c,PP,TRUE,abc,1.234
M_h_e,R_PYRt2,PP,TRUE,abc,1.234
M_pyr_e,R_PYRt2,PP,TRUE,abc,1.234
R_PYRt2,M_h_c,PP,TRUE,abc,1.234
R_PYRt2,M_pyr_c,PP,TRUE,abc,1.234
M_ru5p__D_c,R_RPE,PP,TRUE,abc,1.234
R_RPE,M_xu5p__D_c,PP,TRUE,abc,1.234
M_r5p_c,R_RPI,PP,TRUE,abc,1.234
R_RPI,M_ru5p__D_c,PP,TRUE,abc,1.234
M_h_e,R_SUCCt2_2,PP,TRUE,abc,1.234
M_succ_e,R_SUCCt2_2,PP,TRUE,abc,1.234
R_SUCCt2_2,M_h_c,PP,TRUE,abc,1.234
R_SUCCt2_2,M_succ_c,PP,TRUE,abc,1.234
M_h_e,R_SUCCt3,PP,TRUE,abc,1.234
M_succ_c,R_SUCCt3,PP,TRUE,abc,1.234
R_SUCCt3,M_h_c,PP,TRUE,abc,1.234
R_SUCCt3,M_succ_e,PP,TRUE,abc,1.234
M_q8_c,R_SUCDi,PP,TRUE,abc,1.234
M_succ_c,R_SUCDi,PP,TRUE,abc,1.234
R_SUCDi,M_fum_c,PP,TRUE,abc,1.234
R_SUCDi,M_q8h2_c,PP,TRUE,abc,1.234
M_atp_c,R_SUCOAS,PP,TRUE,abc,1.234
M_coa_c,R_SUCOAS,PP,TRUE,abc,1.234
M_succ_c,R_SUCOAS,PP,TRUE,abc,1.234
R_SUCOAS,M_adp_c,PP,TRUE,abc,1.234
R_SUCOAS,M_pi_c,PP,TRUE,abc,1.234
R_SUCOAS,M_succoa_c,PP,TRUE,abc,1.234
M_g3p_c,R_TALA,PP,TRUE,abc,1.234
M_s7p_c,R_TALA,PP,TRUE,abc,1.234
R_TALA,M_e4p_c,PP,TRUE,abc,1.234
R_TALA,M_f6p_c,PP,TRUE,abc,1.234
M_h_e,R_THD2,PP,TRUE,abc,1.234
M_nadh_c,R_THD2,PP,TRUE,abc,1.234
M_nadp_c,R_THD2,PP,TRUE,abc,1.234
R_THD2,M_h_c,PP,TRUE,abc,1.234
R_THD2,M_nad_c,PP,TRUE,abc,1.234
R_THD2,M_nadph_c,PP,TRUE,abc,1.234
M_r5p_c,R_TKT1,PP,TRUE,abc,1.234
M_xu5p__D_c,R_TKT1,PP,TRUE,abc,1.234
R_TKT1,M_g3p_c,PP,TRUE,abc,1.234
R_TKT1,M_s7p_c,PP,TRUE,abc,1.234
M_e4p_c,R_TKT2,PP,TRUE,abc,1.234
M_xu5p__D_c,R_TKT2,PP,TRUE,abc,1.234
R_TKT2,M_f6p_c,PP,TRUE,abc,1.234
R_TKT2,M_g3p_c,PP,TRUE,abc,1.234
M_dhap_c,R_TPI,PP,TRUE,abc,1.234
R_TPI,M_g3p_c,PP,TRUE,abc,1.234
